lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
12.8,305.7,55,61,994,10,76,13,307,286,9999,56,745,119,3,60,0
13.2,304.2,54,96,993,6,70,13,297,287,9999,57,625,126,3,47,1
13.6,303,64,72,985,6,43,9,297,287,9999,57,534,137,23,49,1
14,302,79,65,979,9,56,12,299,289,9999,57,482,145,32,55,1
14.4,301,83,103,974,7,59,7,286,287,9999,57,455,159,22,47,1
14.5,300.3,101,75,963,1,171,7,305,288,9999,58,435,195,16,41,1
14.9,299.6,113,77,952,6,229,8,316,291,9999,59,460,206,32,105,1
15.3,298.9,143,128,916,7,275,9,312,296,9999,57,500,210,31,100,0
15.7,298.1,131,85,933,4,315,8,307,294,9999,57,496,195,15,99,0
16.1,297.3,142,109,923,3,306,8,316,294,9999,57,400,205,35,100,0
16.6,296.4,149,108,911,6,293,8,307,294,9999,57,289,220,44,85,0
17,295.7,150,48,909,5,328,8,301,291,9999,56,203,215,38,63,0
17.6,294.9,144,137,913,7,63,10,305,291,9999,56,95,212,48,43,0
18.2,293.9,138,126,928,3,56,9,298,278,9999,55,-22,208,62,25,0
18.6,293,96,44,954,3,330,7,305,285,9999,55,11,210,65,27,0
18.9,292.5,95,135,957,5,7,9,312,285,9999,54,55,195,64,35,0
19.4,291.9,101,89,958,7,53,6,310,285,9999,56,90,201,35,29,0
19.9,291.2,102,116,954,10,102,8,322,288,9999,56,79,207,49,25,0
20.5,290.5,105,114,955,11,83,5,309,291,9999,57,98,213,62,66,0
20.8,290,115,151,948,13,63,8,332,289,9999,56,121,226,64,116,0
21.2,289.6,112,83,954,19,65,8,338,286,9999,57,161,214,52,91,0
21.9,289.1,106,113,954,20,61,8,347,285,9999,56,234,225,31,90,0
22.8,288.8,111,104,954,21,55,9,343,286,9999,57,333,224,35,111,0
23.7,288.4,111,89,948,23,45,8,332,287,9999,56,433,246,41,115,0
24.4,288.1,104,84,950,20,42,9,343,285,9999,57,505,236,44,120,0
25,287.8,107,51,947,17,46,9,354,281,9999,56,557,243,26,110,0
25.8,287.6,101,124,946,15,47,9,354,279,9999,58,625,260,40,86,0
26.6,287.6,102,87,945,11,53,9,354,276,9999,57,702,256,47,50,0
27.5,287.5,100,114,942,11,98,10,350,275,9999,58,753,268,43,46,0
28.4,287.2,95,61,947,10,56,6,344,271,9999,57,735,253,59,44,0
29.1,287,90,66,937,7,3,5,360,262,9999,58,714,284,69,70,0
29.7,287.1,87,96,941,9,81,6,344,253,9999,55,660,274,71,65,0
30.3,287,75,97,950,17,109,6,352,250,9999,56,598,253,72,20,0
30.8,287,70,94,962,14,128,8,354,252,9999,55,552,247,74,2,0
31.4,286.9,70,120,962,13,116,6,360,255,9999,56,493,247,81,46,0
32,287,70,112,966,15,116,9,324,257,9999,56,450,233,78,26,0
32.6,286.9,64,90,969,17,132,7,360,256,9999,57,398,209,55,8,0
33.3,286.9,65,80,969,15,122,5,9,257,9999,56,347,218,43,32,0
34,287,57,87,974,17,126,4,12,256,9999,57,310,210,38,13,0
34.6,287.2,59,66,974,19,120,4,348,259,9999,56,302,228,37,23,0
34.9,287.1,58,169,977,21,120,5,351,260,9999,55,283,212,9,40,0
35.4,287.2,57,39,979,17,120,6,26,258,9999,53,281,208,15,32,0
36,287.6,64,62,976,20,129,6,26,252,9999,54,310,231,-5,19,0
36.5,288.2,64,165,976,20,138,6,62,249,9999,54,356,233,-16,-15,0
36.8,288.7,60,177,981,22,158,9,58,247,9999,53,376,208,26,-21,0
36.8,290,61,175,980,11,151,13,72,246,9999,53,479,193,18,-23,0
36.8,291.4,55,115,984,10,129,15,74,255,9999,51,552,174,52,22,0
36.9,293.2,54,80,985,8,116,17,87,261,9999,50,617,169,72,30,0
37,295.4,49,40,988,6,135,23,82,268,9999,49,722,138,57,9,0
13.1,303.4,36,45,1004,14,228,19,270,289,9999,54,542,84,46,5,0
13.1,301.6,35,156,1004,13,207,19,279,291,9999,53,381,77,44,12,0
13.1,299.7,31,54,1005,18,202,20,282,294,9999,54,267,79,49,1,0
13.4,297.8,33,117,1004,18,196,16,263,298,9999,53,300,86,54,20,0
13.7,296.8,33,99,1006,17,196,16,274,294,9999,53,333,78,55,14,0
13.5,295,37,70,1005,17,191,23,272,291,9999,54,330,66,56,-10,0
13.8,292.9,36,108,1007,21,186,19,288,290,9999,52,315,75,68,-2,0
13.8,291,33,64,1007,22,181,20,282,290,9999,54,218,66,43,7,0
14.8,284.4,30,86,1005,12,160,22,283,288,9999,54,339,49,62,0,0
13.6,283.4,27,77,1009,18,196,28,305,302,9999,57,343,55,73,69,0
14.7,281.6,32,76,1007,11,215,15,289,287,9999,57,352,64,61,41,0
15.2,279.5,30,160,1007,8,224,18,276,287,9999,56,291,54,34,39,0
15.5,277.4,27,118,1010,12,206,18,300,289,9999,56,85,43,32,14,0
16.8,275.5,43,100,1008,14,212,14,296,294,9999,56,106,68,36,1,0
18,273,44,125,1008,6,223,14,283,296,9999,55,77,72,8,49,0
18.2,272.1,20,100,1011,7,244,9,312,293,9999,55,-8,49,-11,59,0
19.1,270.9,22,100,1011,4,194,9,298,260,9999,54,-130,56,-9,16,0
20,269.9,24,84,1010,5,128,7,295,323,9999,56,-43,52,-4,17,0
20.6,268.8,31,85,1006,6,66,10,301,300,9999,56,82,61,-4,34,0
20.7,268.2,25,94,1008,10,91,11,324,297,9999,55,146,57,-9,20,0
21.7,267.5,27,96,1005,10,78,10,333,298,9999,56,241,70,8,9,1
21.4,267.6,30,45,1004,6,45,1,360,299,9999,56,222,76,5,9,1
21.9,267.8,26,95,1002,10,36,7,306,301,9999,58,220,79,7,3,1
22.7,267.5,46,90,1000,10,73,11,335,303,9999,57,295,92,32,14,1
23.8,267,53,61,985,9,57,7,318,300,9999,56,417,110,-3,-1,1
24.4,266.4,76,44,976,13,26,9,305,296,9999,58,394,153,24,1,1
24.9,265.7,78,85,971,14,27,10,302,295,9999,57,308,155,21,1,1
25.6,264.9,93,70,963,13,49,11,318,295,9999,57,211,176,15,7,0
26.4,264.1,98,57,951,10,45,8,318,291,9999,57,138,187,-14,-2,0
27.1,263.7,105,117,944,13,9,7,324,287,9999,55,108,184,2,41,0
27.8,263.2,116,94,934,16,37,4,299,280,9999,55,24,199,6,44,0
28.2,262.9,99,135,944,14,67,4,360,277,9999,54,-29,192,0,-7,0
28.7,262.8,75,173,972,13,81,6,325,268,9999,54,-77,197,-2,17,0
29.1,262.5,61,157,986,13,35,1,319,260,9999,54,-130,164,1,33,0
29.3,262.4,38,102,997,23,74,1,221,262,9999,53,-153,136,-15,-1,0
29.1,262.6,38,89,998,15,66,3,139,258,9999,54,-124,126,3,32,0
28.9,262.8,32,96,1001,17,28,5,131,267,9999,51,-94,128,4,75,0
28.9,263.3,34,72,999,26,40,3,164,273,9999,51,-62,128,4,58,0
28.7,263.5,32,84,999,30,55,5,114,271,9999,50,-32,120,25,15,0
28.5,264,32,52,997,25,51,4,90,267,9999,49,17,127,46,5,0
28.5,264.2,41,104,998,26,43,6,145,277,9999,48,25,131,32,8,0
28.3,264.7,46,105,997,32,43,2,156,270,9999,48,56,114,51,2,0
28.1,265,44,125,998,32,54,3,360,276,9999,48,87,127,36,-10,0
28.4,265.3,37,83,998,26,50,7,36,277,9999,48,81,140,15,36,0
28.9,265.7,37,99,997,25,37,5,65,281,9999,49,79,136,29,71,0
28.8,266.2,41,67,996,27,34,7,24,279,9999,49,105,130,32,38,0
29.4,266.5,41,66,995,26,44,10,15,282,9999,48,42,143,30,-15,0
11.9,321.5,37,52,1010,5,149,14,304,285,9999,57,1644,82,16,64,0
12.3,320,40,108,1006,6,124,11,265,286,9999,58,1535,91,21,38,0
12.4,318.9,47,66,1004,8,113,14,270,287,9999,58,1449,98,12,32,0
12.4,317.7,44,102,1004,8,143,13,297,284,9999,57,1353,91,-4,38,1
12.9,316.2,55,91,998,7,146,15,294,284,9999,56,1284,108,8,31,0
13.7,314.9,70,104,992,9,86,15,285,281,9999,55,1267,125,6,11,1
14.2,313.3,73,80,995,8,77,15,285,283,9999,55,1206,111,4,-3,1
14.6,311.7,82,3,983,12,69,16,284,280,9999,54,1160,130,-6,18,0
14.8,310.2,80,44,986,7,64,16,288,281,9999,53,1111,123,-1,11,0
15.3,308.4,99,65,965,6,15,15,285,282,9999,53,1099,152,-2,37,1
15.5,306.8,107,87,961,12,64,15,285,284,9999,51,993,150,10,19,1
15.9,305.3,104,112,966,15,83,14,287,283,9999,52,886,139,16,2,1
16.1,303.6,131,45,937,12,79,13,284,285,9999,51,771,176,19,40,0
16.4,302.2,135,91,933,11,73,10,293,286,9999,53,712,198,8,95,0
16.7,301.2,136,128,931,14,80,10,300,287,9999,52,697,196,-1,70,0
17.1,300.2,131,110,936,16,75,10,308,285,9999,53,639,176,3,36,0
17.9,299.3,127,96,937,16,58,12,310,287,9999,52,530,169,-9,0,0
18.8,298.1,123,115,939,13,52,14,305,288,9999,52,404,174,-5,28,0
19.4,297.1,128,72,940,7,114,14,317,286,9999,52,319,178,-16,-24,0
20.4,296,115,127,944,10,126,14,317,283,9999,52,294,170,-34,-29,0
21.2,294.6,119,123,944,13,162,15,322,284,9999,51,307,170,-63,-54,0
22.3,293.6,104,115,956,22,184,16,313,281,9999,52,422,151,-45,-63,0
23.3,292.3,102,113,962,26,183,14,309,284,9999,52,460,154,-32,-55,0
24.1,291.6,91,100,968,26,195,13,321,284,9999,54,513,148,-39,-73,0
25.1,290.9,91,82,964,27,199,13,345,288,9999,52,606,153,-60,-18,0
26.1,290.7,92,41,970,21,202,11,360,289,9999,54,714,176,-48,-6,0
26.9,290.3,86,74,979,25,196,9,24,290,9999,55,798,163,-22,-25,0
27.5,290.7,69,53,985,22,183,8,51,284,9999,57,869,159,-36,-33,0
27.5,291.5,68,102,985,19,170,7,74,279,9999,57,878,155,-64,-19,0
27.6,292.3,63,101,985,21,168,9,111,285,9999,57,906,160,-37,-2,0
27.3,293.1,71,124,982,22,165,7,133,285,9999,56,898,166,-25,-25,0
26.3,293.8,64,104,982,20,176,7,133,286,9999,57,825,160,-28,-28,0
25.7,294.3,65,112,984,22,171,4,119,285,9999,55,794,152,-26,-16,0
25.4,294.4,63,109,985,23,173,4,193,282,9999,54,768,150,3,6,0
25.2,294.3,70,93,991,20,180,3,222,278,9999,53,745,146,3,-22,0
25,293.8,70,111,986,19,180,5,270,273,9999,54,701,173,3,-3,0
24.8,293.8,61,119,989,24,179,6,299,274,9999,54,683,163,3,-8,0
25,293.1,59,133,988,17,168,5,282,280,9999,56,665,155,16,19,0
25.3,292.4,61,110,988,16,158,9,305,288,9999,56,666,144,3,7,0
25.7,291.6,62,124,988,17,137,8,270,287,9999,58,684,129,-14,27,0
26.3,291,60,114,988,16,129,8,309,286,9999,55,739,136,-5,29,0
26.8,290.1,65,77,983,14,111,10,307,289,9999,57,785,158,5,41,0
27.2,289.3,64,88,982,23,108,9,305,289,9999,56,823,145,-2,29,0
27.6,288.4,70,71,980,27,123,7,336,289,9999,57,838,156,-1,65,0
28.5,287.9,69,77,982,27,108,5,327,287,9999,57,804,150,19,68,0
28.6,288,70,73,969,24,113,6,8,277,9999,57,810,177,42,107,0
28.9,288.2,71,71,973,24,96,8,354,268,9999,58,792,180,32,98,0
29.6,288.2,70,98,972,27,102,6,8,271,9999,58,727,163,32,63,0
30.6,288.1,80,74,967,29,72,7,7,272,9999,56,635,187,54,54,0
31.2,288.2,83,48,963,32,57,9,23,265,9999,53,593,208,58,70,0
22.2,263.6,38,103,1006,22,92,4,105,294,9999,54,106,59,-12,30,1
21.9,263.9,41,87,1004,13,86,6,123,290,9999,54,118,74,-3,51,0
21.8,264.8,63,107,992,9,63,5,113,289,9999,55,208,102,16,79,0
21.7,265.1,68,56,989,14,36,3,110,286,9999,55,238,91,-5,84,0
21.6,265.4,69,92,988,18,51,3,270,285,9999,55,269,94,-10,37,0
21.6,265.4,69,67,983,16,71,3,197,275,9999,55,269,99,4,17,0
21.6,265.4,73,88,982,7,56,2,205,260,9999,55,269,102,8,18,0
21.6,265,72,81,979,11,52,3,180,245,9999,53,227,97,-11,39,0
21.4,264.7,80,58,974,10,59,3,250,261,9999,52,195,104,-13,12,0
21.1,264.4,82,16,977,7,118,4,242,270,9999,51,151,95,5,20,0
21.1,263.8,89,71,972,6,133,5,231,277,9999,49,97,85,-22,34,0
20.8,263.1,70,36,988,5,127,5,215,273,9999,46,17,68,-25,33,0
20.4,262.6,39,38,1007,4,169,9999,9999,250,9999,46,-51,20,-13,22,0
12.7,326,42,42,1006,15,154,7,278,277,9999,52,1796,92,-13,-9,0
12.8,325.4,41,73,1007,14,158,6,280,277,9999,51,1844,97,-22,-17,0
12.9,324.9,37,133,1007,15,137,5,270,274,9999,51,1838,97,-19,-45,0
12.8,323.7,37,109,1007,17,117,6,270,275,9999,51,1792,101,-10,-43,0
13,323.1,31,65,1007,21,105,10,287,279,9999,50,1800,87,-10,-40,0
13.2,322.1,30,103,1007,26,98,12,284,282,9999,51,1779,74,-11,-53,0
13.7,320.8,29,67,1006,34,103,11,291,280,9999,51,1700,69,-22,-38,0
13.9,319.6,32,110,1006,38,115,10,282,282,9999,50,1617,66,-27,-21,0
14.5,318.3,29,104,1007,35,115,10,276,282,9999,50,1567,62,-28,23,0
17.5,314.8,48,99,1006,32,118,10,324,275,9999,46,1602,104,21,10,0
18,314.4,39,100,1007,26,109,11,339,274,9999,45,1629,93,17,27,0
18.2,313.5,42,96,1008,24,117,6,323,275,9999,43,1604,86,30,6,0
18.4,312.9,26,77,1009,26,121,8,347,282,9999,43,1597,57,41,7,0
30.5,311.1,29,123,1013,1,144,7,346,273,9999,44,1837,52,-35,-17,0
31.2,311,36,55,1009,2,116,6,344,272,9999,43,1758,52,-51,-2,0
31.6,310.8,34,84,1009,4,105,4,348,270,9999,44,1711,48,-56,11,1
31.8,310.5,43,104,1003,3,46,5,350,268,9999,44,1684,58,-60,-13,1
32,310.3,40,129,1008,7,33,3,320,270,9999,43,1659,71,-66,23,1
32,310,46,77,1004,7,51,2,239,266,9999,43,1655,68,-60,-11,0
31.9,309.9,63,121,987,7,66,2,157,261,9999,43,1665,86,-76,-4,0
31.5,309.9,75,121,982,4,109,5,101,259,9999,43,1709,95,-74,-18,0
31.4,310.1,80,103,977,8,44,4,106,254,9999,43,1722,108,-72,-36,0
31.3,310.4,84,85,976,12,43,2,120,255,9999,43,1738,119,-71,1,0
31.1,310.6,79,97,977,7,48,1,221,255,9999,43,1763,120,-71,-7,0
30.9,310.3,80,83,976,9,7,4,240,248,9999,44,1780,130,-65,-27,0
30.6,309.8,82,107,976,6,318,6,261,265,9999,44,1807,130,-78,-30,0
30.4,309,78,102,978,9,298,9,257,270,9999,44,1820,113,-74,-18,0
30.1,308,84,93,977,10,275,10,265,271,9999,44,1847,117,-76,5,0
29.9,306.8,89,139,971,8,262,9,263,273,9999,43,1808,130,-81,-26,0
29.9,305.8,100,141,967,7,260,8,277,273,9999,44,1738,148,-78,18,0
30,304.9,95,126,969,7,172,7,278,276,9999,45,1687,133,-73,-2,0
30.1,304,96,146,967,10,155,6,291,276,9999,45,1639,145,-70,-64,0
30.3,303.5,102,153,964,10,171,6,325,272,9999,45,1626,138,-86,-88,0
30.8,303,100,71,962,13,177,8,342,270,9999,45,1599,149,-94,-69,0
31.4,302.8,96,69,966,17,175,8,348,268,9999,45,1531,139,-92,-32,0
