lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),class
20.8,289.3,103,78,964,19,72,9,335,291,9999,55,114,173,31,56,21.6,288.9,110,138,957,26,90,9,343,289,9999,56,200,163,29,50,21.6,288.9,110,138,957,26,90,9,343,289,9999,56,200,163,29,50,0
21.6,288.8,118,168,960,26,93,9,330,291,9999,54,200,157,28,34,22.4,288.3,103,150,952,17,94,7,332,290,9999,56,289,174,34,88,22.4,288.3,103,150,952,17,94,7,332,290,9999,56,289,174,34,88,0
22.3,288.3,110,141,958,17,94,5,340,292,9999,55,278,172,32,109,22.8,288.1,103,108,954,17,80,6,341,289,9999,55,330,184,31,70,22.8,288.1,103,108,954,17,80,6,341,289,9999,55,330,184,31,70,0
24.2,288.3,137,107,937,15,86,9,6,292,9999,57,487,213,45,74,25.1,288.4,103,73,943,16,80,10,3,288,9999,58,587,216,55,96,25.1,288.4,103,73,943,16,80,10,3,288,9999,58,587,216,55,96,0
28,289.4,108,104,929,17,92,15,24,294,9999,54,912,286,31,85,29.4,290.1,115,145,919,18,70,15,22,289,9999,54,864,288,14,47,29.4,290.1,115,145,919,18,70,15,22,289,9999,54,864,288,14,47,0
29.7,290,112,95,929,12,72,14,30,294,9999,55,833,287,11,32,30.9,290.8,107,120,922,9,71,16,35,283,9999,53,800,299,47,73,30.9,290.8,107,120,922,9,71,16,35,283,9999,53,800,299,47,73,0
30.9,291,116,169,926,8,96,21,35,282,9999,53,815,323,43,54,32.6,292.4,99,152,930,14,97,24,41,269,9999,52,830,300,82,98,32.6,292.4,99,152,930,14,97,24,41,269,9999,52,830,300,82,98,0
34.3,295,111,138,931,19,85,40,37,271,9999,52,949,327,124,174,37.5,298,108,173,926,28,26,41,25,267,9999,48,729,340,175,176,37.5,298,108,173,926,28,26,41,25,267,9999,48,729,340,175,176,0
37.5,298.4,110,126,934,23,48,47,10,271,9999,48,744,302,166,169,42.1,299.5,98,139,925,49,356,37,5,225,9999,40,343,360,248,154,42.1,299.5,98,139,925,49,356,37,5,225,9999,40,343,360,248,154,0
42.4,299.3,100,142,932,52,3,26,354,220,9999,39,306,343,243,133,45,298.9,94,123,928,51,336,21,350,175,9999,28,24,353,260,137,45,298.9,94,123,928,51,336,21,350,175,9999,28,24,353,260,137,0
47.1,298.3,80,165,938,46,344,5,40,150,9999,23,70,320,262,49,47.5,298.8,66,75,945,33,353,9,39,145,9999,23,85,279,266,81,47.5,298.8,66,75,945,33,353,9,39,145,9999,23,85,279,266,81,0
47.6,299.3,63,54,951,37,356,14,22,143,9999,23,79,232,268,55,48.9,300.1,44,49,965,34,348,17,21,146,9999,22,94,213,269,60,48.9,300.1,44,49,965,34,348,17,21,146,9999,22,94,213,269,60,0
37.9,317.9,57,107,998,27,31,14,46,251,9999,40,1332,106,-40,19,38.9,319.2,45,149,999,29,38,15,56,243,9999,39,1325,106,-67,-10,38.9,319.2,45,149,999,29,38,15,56,243,9999,39,1325,106,-67,-10,0
41.1,327.2,58,194,997,29,74,10,90,233,9999,36,1740,132,-62,-12,41.1,328.5,49,172,999,30,108,9,99,236,9999,35,1838,117,-96,-48,41.1,328.5,49,172,999,30,108,9,99,236,9999,35,1838,117,-96,-48,0
41,328.8,65,142,997,29,101,9,102,236,9999,35,1838,138,-79,-52,40.8,330,47,174,996,24,123,7,114,232,9999,35,1746,124,-54,-42,40.8,330,47,174,996,24,123,7,114,232,9999,35,1746,124,-54,-42,0
