lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),class
43.3,319.5,38,131,999,16,339,10,324,220,9999,30,1060,139,35,-33,44.1,318.7,33,137,1001,14,304,8,309,208,9999,30,965,123,40,18,44.1,318.7,33,137,1001,14,304,8,309,208,9999,30,965,123,40,18,0
44.1,318.6,47,185,997,12,302,5,305,211,9999,30,958,139,44,22,44.4,318,38,127,997,13,285,4,286,208,9999,30,901,128,43,21,44.4,318,38,127,997,13,285,4,286,208,9999,30,901,128,43,21,0
44.3,317.9,44,136,999,11,289,2,305,212,9999,28,897,122,44,22,44.4,317.7,40,176,1001,16,260,1,324,210,9999,27,878,122,40,1,44.4,317.7,40,176,1001,16,260,1,324,210,9999,27,878,122,40,1,0
44.2,317.6,40,185,999,14,272,2,90,218,9999,29,879,127,52,0,44.2,317.9,38,62,996,11,233,3,55,213,9999,29,901,124,60,2,44.2,317.9,38,62,996,11,233,3,55,213,9999,29,901,124,60,2,0
44.1,317.9,37,86,996,8,245,6,47,218,9999,29,906,125,66,-10,44.5,318.5,37,25,1000,22,215,3,55,209,9999,29,934,115,66,30,44.5,318.5,37,25,1000,22,215,3,55,209,9999,29,934,115,66,30,0
44.2,318.6,36,68,999,16,224,2,55,209,9999,30,953,113,79,5,44.3,318.8,39,123,996,28,209,4,144,209,9999,29,964,118,93,49,44.3,318.8,39,123,996,28,209,4,144,209,9999,29,964,118,93,49,0
44.2,318.8,31,139,999,25,209,7,163,209,9999,28,968,103,95,48,43.5,319.1,33,121,1002,30,195,8,156,210,9999,30,1021,96,91,26,43.5,319.1,33,121,1002,30,195,8,156,210,9999,30,1021,96,91,26,0
17.6,307.2,54,168,1003,15,58,22,291,275,9999,53,1162,66,9,51,18.4,305,52,120,1007,17,48,23,284,280,9999,53,1063,69,-13,43,18.4,305,52,120,1007,17,48,23,284,280,9999,53,1063,69,-13,43,0
17.5,304.2,40,127,1008,16,36,16,288,284,9999,51,932,72,4,31,18,302.6,32,157,1007,21,27,14,286,286,9999,53,877,68,13,42,18,302.6,32,157,1007,21,27,14,286,286,9999,53,877,68,13,42,0
17.9,302.8,32,134,1008,17,15,12,294,285,9999,51,889,65,14,62,18.4,301.6,34,131,1010,26,35,12,286,287,9999,50,770,63,4,9,18.4,301.6,34,131,1010,26,35,12,286,287,9999,50,770,63,4,9,0
18.5,302.1,41,134,1006,19,37,14,287,287,9999,50,823,71,2,40,18.9,300.7,34,141,1008,29,48,16,285,288,9999,50,677,66,1,-12,18.9,300.7,34,141,1008,29,48,16,285,288,9999,50,677,66,1,-12,0
18.9,301.2,52,165,1005,25,49,16,285,288,9999,48,730,90,-4,8,19.3,299.6,33,143,1008,26,64,13,287,288,9999,49,568,75,-13,1,19.3,299.6,33,143,1008,26,64,13,287,288,9999,49,568,75,-13,1,0
19.2,299.8,42,125,1008,21,59,14,296,289,9999,51,587,69,-7,7,19.8,298.5,33,101,1008,25,50,10,296,290,9999,51,472,71,-19,4,19.8,298.5,33,101,1008,25,50,10,296,290,9999,51,472,71,-19,4,0
19.8,298.6,37,80,1008,21,44,9,298,290,9999,51,481,73,-15,-18,20.2,297.8,35,148,1010,28,46,10,285,290,9999,51,424,67,-20,-22,20.2,297.8,35,148,1010,28,46,10,285,290,9999,51,424,67,-20,-22,0
19.8,298,47,159,1007,24,47,10,282,289,9999,51,423,76,-20,14,20,297,35,137,1008,27,62,8,295,288,9999,50,341,64,-14,-25,20,297,35,137,1008,27,62,8,295,288,9999,50,341,64,-14,-25,0
19.5,296.8,40,125,1009,24,60,10,321,289,9999,50,295,68,-15,-16,20.3,296.1,48,115,1010,28,64,10,293,289,9999,50,292,67,-24,-26,20.3,296.1,48,115,1010,28,64,10,293,289,9999,50,292,67,-24,-26,0
19.9,295.9,38,127,1009,23,67,8,312,290,9999,51,245,54,-20,-25,20.4,295.3,36,86,1010,22,66,7,320,290,9999,52,251,60,-19,30,20.4,295.3,36,86,1010,22,66,7,320,290,9999,52,251,60,-19,30,0
20.4,295.3,29,73,1009,25,64,7,317,290,9999,50,251,57,-22,-1,20.9,294.8,35,121,1010,28,73,9,315,289,9999,50,280,58,-10,16,20.9,294.8,35,121,1010,28,73,9,315,289,9999,50,280,58,-10,16,0
20.8,295,31,108,1010,26,72,11,303,292,9999,50,276,57,-1,17,21.4,294,38,86,1008,31,86,10,306,291,9999,50,322,51,5,22,21.4,294,38,86,1008,31,86,10,306,291,9999,50,322,51,5,22,0
21.1,294.1,28,103,1008,30,80,8,307,292,9999,49,289,45,1,11,21.6,293.4,31,131,1010,32,80,6,317,290,9999,49,344,47,-2,14,21.6,293.4,31,131,1010,32,80,6,317,290,9999,49,344,47,-2,14,0
21.3,293.4,27,157,1007,28,79,4,13,291,9999,50,311,50,-5,13,21.7,293.5,43,113,1008,29,72,6,350,291,9999,52,356,59,-5,56,21.7,293.5,43,113,1008,29,72,6,350,291,9999,52,356,59,-5,56,0
21.7,293.6,26,103,1007,32,74,2,298,291,9999,50,356,52,-11,57,21.8,293.4,31,115,1009,32,84,4,338,290,9999,50,367,51,-11,62,21.8,293.4,31,115,1009,32,84,4,338,290,9999,50,367,51,-11,62,0
21.8,293.2,29,84,1007,34,82,6,351,291,9999,50,367,50,-8,60,22.4,293.1,38,117,1007,33,93,5,354,289,9999,50,419,49,-10,19,22.4,293.1,38,117,1007,33,93,5,354,289,9999,50,419,49,-10,19,0
28.4,299.2,23,149,1011,13,35,7,46,278,9999,47,1221,29,-36,33,28.9,299.8,32,117,1012,14,43,7,39,271,9999,46,1298,32,-58,37,28.9,299.8,32,117,1012,14,43,7,39,271,9999,46,1298,32,-58,37,0
29.1,299.9,28,73,1013,15,48,9,29,268,9999,46,1322,32,-52,39,29.9,300.4,28,148,1011,16,60,9,37,266,9999,45,1423,27,-29,4,29.9,300.4,28,148,1011,16,60,9,37,266,9999,45,1423,27,-29,4,0
29.8,300.4,32,189,1008,17,52,9,37,268,9999,45,1413,37,-34,15,30.5,301,33,160,1010,17,56,7,36,261,9999,45,1510,41,-65,-19,30.5,301,33,160,1010,17,56,7,36,261,9999,45,1510,41,-65,-19,0
31.1,301,34,101,1009,18,51,6,8,262,9999,46,1493,41,-51,3,31.7,301.1,30,104,1009,23,47,6,9,265,9999,47,1434,42,-12,33,31.7,301.1,30,104,1009,23,47,6,9,265,9999,47,1434,42,-12,33,0
31.7,301.3,31,75,1011,23,43,5,341,266,9999,45,1441,39,-8,65,32.2,301.1,23,86,1012,27,53,5,355,266,9999,44,1383,33,-34,24,32.2,301.1,23,86,1012,27,53,5,355,266,9999,44,1383,33,-34,24,0
32.2,301,29,105,1010,25,48,5,10,266,9999,45,1379,41,-32,31,32.7,301.1,24,170,1010,27,55,5,21,265,9999,44,1332,37,-59,1,32.7,301.1,24,170,1010,27,55,5,21,265,9999,44,1332,37,-59,1,0
32.8,301,23,98,1012,29,57,4,23,266,9999,41,1318,39,-62,-7,33.2,301.2,20,73,1013,33,60,6,27,266,9999,42,1285,37,-59,18,33.2,301.2,20,73,1013,33,60,6,27,266,9999,42,1285,37,-59,18,0
33.5,301.2,40,117,1010,34,56,3,29,267,9999,43,1255,53,-58,16,33.8,301.4,24,54,1009,34,57,6,36,264,9999,44,1233,46,-60,25,33.8,301.4,24,54,1009,34,57,6,36,264,9999,44,1233,46,-60,25,0
33.8,301.4,20,27,1013,34,55,10,43,265,9999,42,1233,41,-56,35,34.5,302.2,22,96,1013,35,62,12,32,264,9999,43,1201,35,-77,1,34.5,302.2,22,96,1013,35,62,12,32,264,9999,43,1201,35,-77,1,0
13.9,330.6,32,78,1005,6,183,13,307,279,9999,55,1285,89,78,50,14.7,329.5,29,64,1007,8,178,14,303,279,9999,53,1397,80,66,39,14.7,329.5,29,64,1007,8,178,14,303,279,9999,53,1397,80,66,39,0
14.9,329.5,38,49,1006,6,171,13,293,277,9999,54,1396,89,69,46,15.4,328.3,34,92,1004,6,190,11,314,272,9999,53,1525,82,68,73,15.4,328.3,34,92,1004,6,190,11,314,272,9999,53,1525,82,68,73,0
15.4,327.8,35,128,1005,3,197,13,322,276,9999,50,1578,81,71,76,16.4,327,40,67,1006,4,95,14,322,270,9999,50,1668,81,57,56,16.4,327,40,67,1006,4,95,14,322,270,9999,50,1668,81,57,56,0
16.6,327,42,87,1006,7,66,16,331,270,9999,50,1670,92,64,53,18,326.2,35,88,1006,15,72,15,328,270,9999,50,1774,86,65,70,18,326.2,35,88,1006,15,72,15,328,270,9999,50,1774,86,65,70,0
17.9,326,38,102,1007,17,53,13,329,272,9999,49,1793,97,61,32,19,325.3,33,85,1007,22,72,12,330,267,9999,50,1862,84,45,56,19,325.3,33,85,1007,22,72,12,330,267,9999,50,1862,84,45,56,0
18.7,324.7,51,89,1004,15,67,14,344,269,9999,48,1930,108,56,30,20,324.3,47,69,999,25,102,13,343,269,9999,49,1950,102,36,-25,20,324.3,47,69,999,25,102,13,343,269,9999,49,1950,102,36,-25,0
