lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD ,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
16.4,297,27,125,1011,9,103,15,289,285,9999,49,355,62,34,19,0
16.7,295.2,28,49,1011,5,101,15,286,287,9999,50,186,55,47,36,0
17.4,293.9,35,110,1009,11,82,20,270,286,9999,51,67,60,33,35,0
17.6,292.4,45,88,1008,13,94,16,288,290,9999,49,61,63,24,-21,0
18,291,45,122,1005,17,110,9,289,287,9999,50,31,70,31,-5,0
18.4,289.7,34,68,1008,18,124,16,324,280,9999,47,-16,49,33,4,0
19.4,288.3,48,198,1011,19,110,14,294,248,9999,49,-42,49,26,35,0
20.2,287.4,28,133,1012,22,111,15,286,283,9999,49,33,36,2,58,0
21,286.1,29,65,1012,19,112,10,288,294,9999,50,98,36,-14,46,0
21.1,285.3,25,109,1013,15,90,10,301,290,9999,51,57,46,1,18,0
21.4,284.9,29,187,1012,18,95,14,291,292,9999,53,68,43,-1,18,0
22.2,282.5,28,90,1012,17,71,14,278,294,9999,54,42,41,-14,5,0
22.2,280.9,35,36,1013,20,62,10,264,327,9999,55,-11,52,6,5,0
22.4,280.2,30,161,1012,18,75,12,279,274,9999,56,-30,56,15,29,0
22.9,278.8,26,106,1013,19,78,15,290,277,9999,53,-18,49,6,-12,0
22.7,278,28,130,1013,16,98,4,317,289,9999,56,-15,42,9,-17,0
23.5,276,28,78,1013,9,69,1,180,303,9999,56,92,53,22,3,0
23.4,276,28,38,1012,12,59,12,342,304,9999,56,81,61,38,37,0
23.8,275.6,32,32,1011,15,81,15,357,304,9999,53,138,60,6,2,0
25.9,275.5,39,79,1007,17,84,11,315,300,9999,55,234,67,-15,-22,0
26.4,274.8,41,101,1006,17,52,8,309,299,9999,55,276,82,18,24,0
27,274.3,49,148,1000,18,57,8,333,297,9999,54,300,91,18,78,0
27.5,274.1,42,8,1004,17,66,12,352,297,9999,54,249,89,23,47,0
28.7,274.3,54,39,993,18,41,7,346,297,9999,54,115,105,19,-4,0
29.5,274.5,54,90,994,23,38,10,5,297,9999,54,24,104,15,41,0
30.8,274.7,45,145,999,22,40,8,342,252,9999,53,-77,110,2,38,0
15.2,311.4,31,59,1009,3,329,26,281,274,9999,53,1207,51,-33,-12,0
15.2,309.1,30,146,1008,3,315,21,284,277,9999,53,1109,54,-38,-23,0
15.6,306.9,40,142,1008,1,98,20,267,277,9999,55,1007,64,-26,-21,0
15.6,305.3,44,98,1006,0,86,18,289,280,9999,52,865,62,-42,-12,0
16.1,303,36,150,1005,4,99,18,289,282,9999,54,731,65,-33,31,0
15.8,300.1,24,89,1013,1,228,13,292,283,9999,56,568,58,-11,36,0
16.7,298.5,35,148,1010,8,55,16,274,284,9999,56,479,62,-14,7,0
16.7,296.4,35,140,1010,12,59,11,281,287,9999,54,283,66,-5,41,0
17,294.7,31,168,1009,13,98,13,279,288,9999,55,128,61,3,66,0
16.8,293,29,39,1012,12,134,9,298,289,9999,55,124,56,6,74,0
17.1,291.8,36,104,1011,11,119,8,291,292,9999,56,123,65,5,41,0
16.9,290.5,28,60,1010,12,138,10,287,290,9999,55,158,53,8,45,0
17.6,289.2,38,119,1006,13,146,13,288,286,9999,54,52,64,-1,32,0
17.9,288.2,36,116,1009,7,111,14,278,273,9999,54,13,57,9,44,0
17.8,286.8,44,35,1009,7,90,19,267,286,9999,53,43,54,11,73,0
17.9,285.2,42,103,1005,10,113,14,296,294,9999,52,55,59,7,49,0
18.2,283.9,44,124,1005,10,116,14,274,290,9999,53,29,77,12,36,0
18.3,282.5,44,65,1004,8,110,10,265,283,9999,55,-13,84,27,18,0
18.4,281.4,52,75,1000,10,99,15,281,296,9999,54,39,96,22,21,0
18.7,279.9,50,120,1000,15,125,17,290,296,9999,52,198,102,-4,-8,0
19.1,278.6,66,140,993,18,137,17,287,297,9999,53,323,116,-22,8,0
19.6,276.9,67,172,993,12,130,15,281,297,9999,54,270,118,-16,44,0
19.8,275.2,73,91,987,13,110,16,281,297,9999,54,222,152,-10,70,0
19.9,273.6,68,84,985,14,145,15,293,297,9999,52,101,135,-34,64,0
20.1,271.9,59,146,994,11,172,13,284,269,9999,53,-78,163,-13,18,0
20.5,270.5,50,2,997,11,194,13,284,265,9999,53,-76,156,-5,40,1
